starname,ra_act,dec_act,x_act_mx1,x_act_mx2,x_act_mx3,x_act_my3,x_act_my4,x_act_px1,x_act_px2,x_act_px3,x_act_py1,x_act_py2,x_act_py3,x_act_py4,x_img_mx1,x_img_mx2,x_img_mx3,x_img_my3,x_img_my4,x_img_px1,x_img_px2,x_img_px3,x_img_py1,x_img_py2,x_img_py3,x_img_py4,y_act_mx1,y_act_mx2,y_act_mx3,y_act_my3,y_act_my4,y_act_px1,y_act_px2,y_act_px3,y_act_py1,y_act_py2,y_act_py3,y_act_py4,y_img_mx1,y_img_mx2,y_img_mx3,y_img_my3,y_img_my4,y_img_px1,y_img_px2,y_img_px3,y_img_py1,y_img_py2,y_img_py3,y_img_py4,v_global_x,v_global_y,v_global_z,err_mag_mx3,err_r_mx3,err_ang_mx3,err_mag_py3,err_r_py3,err_ang_py3,err_mag_my3,err_r_my3,err_ang_my3,err_mag_px1,err_r_px1,err_ang_px1,err_mag_px3,err_r_px3,err_ang_px3,err_mag_mx2,err_r_mx2,err_ang_mx2,err_mag_my4,err_r_my4,err_ang_my4,err_mag_px2,err_r_px2,err_ang_px2,err_mag_py4,err_r_py4,err_ang_py4,err_mag_py2,err_r_py2,err_ang_py2,err_mag_mx1,err_r_mx1,err_ang_mx1,err_mag_py1,err_r_py1,err_ang_py1
58Hya,222.572,-27.96,,,,,,,,,1342.392,,,,,,,,,,,,1342.91,,,,,,,,,,,,799.857,,,,,,,,,,,,797.06,,,,-0.650468346424249,-0.5975499031161963,-0.46885503472387674,,,86.36540503508664,,,86.36540503508664,,,86.36540503508664,,,86.36540503508664,,,86.36540503508664,,,86.36540503508664,,,86.36540503508664,,,86.36540503508664,,,86.36540503508664,,,86.36540503508664,,,86.36540503508664,2.8445620049491227,584.6178082303003,86.36540503508664
59Hya,224.663,-27.657,,,,,,,,,1400.589,,,,,,,,,,,,1400.84,,,,,,,,,,,,773.029,,,,,,,,,,,,769.87,,,,-0.6299873172228176,-0.6226196989451238,-0.4641774344190811,,,87.73805172995704,,,87.73805172995704,,,87.73805172995704,,,87.73805172995704,,,87.73805172995704,,,87.73805172995704,,,87.73805172995704,,,87.73805172995704,,,87.73805172995704,,,87.73805172995704,,,87.73805172995704,3.168955979498601,641.4238321889825,87.73805172995704
60Hya,225.527,-28.061,,,,,,,,,1413.818,,,,,,,,,,,,1413.87,,,,,,,,,,,,747.464,,,,,,,,,,,,744.25,,,,-0.6182187970647077,-0.6296973098025642,-0.47041132743937947,,,82.45997506314244,,,82.45997506314244,,,82.45997506314244,,,82.45997506314244,,,82.45997506314244,,,82.45997506314244,,,82.45997506314244,,,82.45997506314244,,,82.45997506314244,,,82.45997506314244,,,82.45997506314244,3.21442063208914,654.5476754217372,82.45997506314244
61Vir,199.601,-18.311,,,,,,,,,890.023,,,,,,,,,,,,895.36,,,,,,,,,,,,1403.369,,,,,,,,,,,,1402.96,,,,-0.8943509828600229,-0.3184816486176432,-0.31417472678606606,,,82.18353493323256,,,82.18353493323256,,,82.18353493323256,,,82.18353493323256,,,82.18353493323256,,,82.18353493323256,,,82.18353493323256,,,82.18353493323256,,,82.18353493323256,,,82.18353493323256,,,82.18353493323256,5.352648876958004,657.6463420410699,82.18353493323256
63Vir,200.755,-17.735,,,,,,,,,930.968,,,,,,,,,,,,936.28,,,,,,,,,,,,1407.705,,,,,,,,,,,,1407.01,,,,-0.8906639997262266,-0.33753128839056556,-0.3046149519460352,,,82.98324565953824,,,82.98324565953824,,,82.98324565953824,,,82.98324565953824,,,82.98324565953824,,,82.98324565953824,,,82.98324565953824,,,82.98324565953824,,,82.98324565953824,,,82.98324565953824,,,82.98324565953824,5.357272533668605,671.2081409667198,82.98324565953824
69Vir,201.863,-15.974,,,,,,,,,987.712,,,,,,,,,,,,993.26,,,,,,,,,,,,1451.357,,,,,,,,,,,,1450.21,,,,-0.8922407915388243,-0.3580093756626364,-0.27520112073140557,,,91.63821975754745,,,91.63821975754745,,,91.63821975754745,,,91.63821975754745,,,91.63821975754745,,,91.63821975754745,,,91.63821975754745,,,91.63821975754745,,,91.63821975754745,,,91.63821975754745,,,91.63821975754745,5.665325498150999,729.1941042685412,91.63821975754745
6Crv,185.84,-24.84,,,,,,,,,422.118,,,,,,,,,,,,427.6,,,,,,,,,,,,1337.001,,,,,,,,,,,,1339.93,,,,-0.9027745039525907,-0.09233729364604472,-0.4200857284118063,,,82.89373304802805,,,82.89373304802805,,,82.89373304802805,,,82.89373304802805,,,82.89373304802805,,,82.89373304802805,,,82.89373304802805,,,82.89373304802805,,,82.89373304802805,,,82.89373304802805,,,82.89373304802805,6.2154135019321775,668.6229093442731,82.89373304802805
75Vir,203.215,-15.363,,,,,,,,,1036.345,,,,,,,,,,,,1041.86,,,,,,,,,,,,1453.695,,,,,,,,,,,,1452.21,,,,-0.8861921141395329,-0.38009707952081606,-0.26493347651184335,,,81.69207530144311,,,81.69207530144311,,,81.69207530144311,,,81.69207530144311,,,81.69207530144311,,,81.69207530144311,,,81.69207530144311,,,81.69207530144311,,,81.69207530144311,,,81.69207530144311,,,81.69207530144311,5.711431519330184,748.0469996597807,81.69207530144311
83Vir,206.124,-16.179,,,,,,,,,1108.814,,,,,,,,,,,,1113.76,,,,,,,,,,,,1387.478,,,,,,,,,,,,1385.56,,,,-0.8622849223242753,-0.4228769949044486,-0.2786391212891711,,,84.43503089511108,,,84.43503089511108,,,84.43503089511108,,,84.43503089511108,,,84.43503089511108,,,84.43503089511108,,,84.43503089511108,,,84.43503089511108,,,84.43503089511108,,,84.43503089511108,,,84.43503089511108,5.304869461164865,719.3408588423155,84.43503089511108
86Vir,206.485,-12.427,,,,,,,,,1180.367,,,,,,,,,,,,1186.06,,,,,,,,,,,,1507.311,,,,,,,,,,,,1504.75,,,,-0.8740809725021829,-0.43551501590835506,-0.21519554927549817,,,79.97836974584797,,,79.97836974584797,,,79.97836974584797,,,79.97836974584797,,,79.97836974584797,,,79.97836974584797,,,79.97836974584797,,,79.97836974584797,,,79.97836974584797,,,79.97836974584797,,,79.97836974584797,6.242513115725061,858.6914440589238,79.97836974584797
