starname,ra_act,dec_act,x_img_my3,y_img_my3,x_act_my3,y_act_my3
gamma TrA,229.7273802831117,-68.67941412353515,170.88999938964844,850.9299926757812,168.1889491455372,846.4434499146475
iota Car,139.27250889830805,-59.275305301242405,1301.1199951171875,1262.8599853515625,1298.475396609321,1265.6340494473948
iota Cha,141.03807307452104,-80.78708282470703,613.1799926757812,1461.969970703125,607.9648480870247,1461.2492422006276
iota Cru,191.40779975015948,-60.98122273084852,713.8099975585938,685.780029296875,713.2008547694792,684.0172240515338
iota Lup,214.85091718538106,-46.05786034817166,399.67999267578125,97.37000274658203,401.6999016307009,92.52325267204128
iota Oct,193.74474417134934,-85.12327981228299,375.489990234375,1396.97998046875,370.1542688148272,1394.778641716574
iota1 musca,201.27989938240918,-74.88772018771701,452.0299987792969,1054.760009765625,448.77719354617807,1052.291898818611
kappa Cha,181.19350653664813,-76.51908689371744,572.9600219726562,1167.989990234375,569.333967001247,1166.4378651273253
kappa Cru,193.45445061879792,-60.37683155314128,693.030029296875,655.9099731445312,692.5507626400656,653.9585071695557
kappa Oct,205.23249196518165,-85.78597171359593,338.4200134277344,1411.77001953125,332.9264606279096,1409.3867398996997
kappa TrA,238.87300115168327,-68.6031095852322,56.790000915527344,877.5499877929688,53.70407871677389,872.4754179698948
kappa Vel,140.52852876839043,-55.01069444444445,1432.81005859375,1195.550048828125,1430.8316247332837,1198.9346087832578
kappa1 aps,232.87817532375408,-73.38960907660591,168.55999755859375,1009.7000122070312,164.9683669942683,1005.5396082850002
kappa1 lupus,227.99009908128576,-48.74366692097982,88.62999725341797,178.0800018310547,89.39839078693603,171.88201883349666
kappa2 aps,235.08836502720928,-73.44672323947482,147.6999969482422,1017.530029296875,144.02202295871302,1013.2627879787643
kappa2 lupus,227.9835542951962,-48.7378058098687,88.51000213623047,178.3000030517578,89.52485164326481,171.66196879200163
lambda Cen,173.94503962466914,-63.01974974568685,893.510009765625,875.7000122070312,892.2082279569845,875.3626730778583
lambda Cru,193.66310723423211,-59.146529557969835,705.010009765625,619.3900146484375,704.7606073880283,617.4322608071934
lambda Lup,227.2107621088843,-45.279805301242405,89.05000305175781,48.7400016784668,90.66625011539145,42.03253292117529
lambda Mus,176.40160907407477,-66.72869495307074,795.0900268554688,944.25,793.1894798695314,943.5000189728992
mu chameleon,150.18135431448184,-82.21466361490886,552.780029296875,1436.449951171875,547.589473044979,1435.3401454594764
mu1 crucis,193.65341295209947,-57.16822349378798,729.219970703125,562.8699951171875,729.3766468447925,560.6179049308779
mu2 crucis,193.6483887560307,-57.177779049343535,729.260009765625,562.5700073242188,729.3362000441693,560.9275702976022
nu Cha,146.58804841120494,-76.77605911593967,726.6300048828125,1377.1099853515625,722.13182033632,1376.8417521495635
nu1 lupus,230.53464862247418,-47.927890160454645,20.559999465942383,151.8300018310547,21.44868639116521,144.96545253387615
nu2 lupus,230.45082203274825,-48.317637871636286,25.530000686645508,166.1199951171875,26.348928447662274,159.30939318808487
omega Car,153.43423302052125,-70.03788838026259,892.77001953125,1216.81005859375,889.5389597657005,1217.1708302588138
omega Oct,227.7843861644706,-84.78755504692926,275.510009765625,1379.5,270.0677225667414,1376.6941080059428
omicron Hya,175.05331646872963,-34.74463914320204,1490.25,126.66000366210938,1494.5319027264688,128.0343358447368
omicron1 centaurus,172.94223590663074,-59.4422510172526,978.0499877929688,801.280029296875,977.3462378415595,801.2555365485935
omicron2 centaurus,172.95276338877483,-59.51566666666667,976.3900146484375,802.8900146484375,975.6891608858729,802.8629609873302
phi Vel,149.21560300095052,-54.56769342719184,1367.3599853515625,1031.93994140625,1366.187079397227,1034.6136070515172
pi Cen,170.25200384602743,-54.49100025431315,1118.4000244140625,717.0599975585938,1118.4817063141732,717.6475209140908
pi Cha,174.31445218688202,-75.89647018771701,626.6199951171875,1184.010009765625,623.0175623154927,1182.8015074570196
